ID,Fight_Num,Event_Card,Event_Weight,Red_Event_fighter_image,Red_Fighter_Name,Red_Fighter_Nickname,Blue_Fighter_Name,Blue_Event_fighter_image,Blue_Fighter_Nickname
7,56, None, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/NEAL_GEOFF_L_02-17.png?itok=kl3H3N8g, Geoff Neal," ""Handz of Steel""", Rafael Dos Anjos, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/DOS_ANJOS_RAFAEL_R_03-09.png?itok=fMTIAb-C, 
7,57, None, Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/ROGERIO%2520DE%2520LIMA_MARCOS_L_02-17.png?itok=VOq78dHn, Marcos Rogerio de Lima," ""Pezao""", Kennedy Nzechukwu, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/NZECHUKWU_KENNEDY_R_03-16.png?itok=5a_XuF2a," ""African Savage"""
7,58, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/MAGOMEDOV_ABUS_L_07-01.png?itok=nmsESEDr, Abus Magomedov, , Brunno Ferreira, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/FERREIRA_BRUNNO_R_01-13.png?itok=ETqBeqMk, 
7,59, None, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/FAKHRETDINOV_RINAT_L_06-22.png?itok=tzj9TtDP, Rinat Fakhretdinov," ""Gladiator""", Nursulton Ruziboev, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-05/RUZIBOEV_NURSULTON_R_05-11.png?itok=9oubFLlw," ""Black"""
8,60, main_card, Middleweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/DU_PLESSIS_DRICUS_L_BELT.png?itok=EEVVm-qa, Dricus Du Plessis," ""Stillknocks""", Israel Adesanya, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/ADESANYA_ISRAEL_R_08-17.png?itok=fGBjWEyk," ""The Last Stylebender"""
8,61, main_card, Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/KARA-FRANCE_KAI_L_08-17.png?itok=SGQW2fek, Kai Kara-France," ""Don't Blink""", Steve Erceg, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/ERCEG_STEVEN_R_08-17.png?itok=FaWJXXUX," ""Astroboy"""
8,62, main_card, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/GAMROT_MATEUSZ_L_08-17.png?itok=m8uKLEWX, Mateusz Gamrot," ""Gamer""", Dan Hooker, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/HOOKER_DAN_R_08-17.png?itok=KpUNdElq," ""The Hangman"""
8,63, main_card, Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/TUIVASA_TAI_L_08-17.png?itok=NrRCfTYG, Tai Tuivasa," ""Bam Bam""", Jairzinho Rozenstruik, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/ROZENSTRUIK_JAIRZINHO_R_08-17.png?itok=9rHMJoNM," ""Bigi Boy"""
8,64, main_card, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/JINGLIANG_LI_L_08-17.png?itok=0sV_6u67, Li Jingliang," ""The Leech""", Carlos Prates, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/PRATES_CARLOS_R_08-17.png?itok=qF44JhDO," ""The Nightmare """
8,65, prelims, Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/TAFA_JUNIOR_L_04_22.png?itok=DbpgtASP, Junior Tafa," ""The Juggernaut""", Valter Walker, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-07/WALKER_VALTER_R_04-06.png?itok=1jhYNyGA," ""The Clean Monster """
8,66, prelims, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/CULIBAO_JOSH_L_08-17.png?itok=N8xu2lMZ, Josh Culibao," ""Kuya""", Ricardo Ramos, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/RAMOS_RICARDO_R_08-17.png?itok=NjynFlTW, 
8,67, prelims, Women's Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/ONEILL_CASEY_L_08-17.png?itok=Spl71uLH, Casey O'Neill," ""King""", Luana Santos, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/SANTOS_LUANA_R_08-17.png?itok=5cLBVfpX, 
